Official Symbol Interactor A	Official Symbol Interactor B
HEXIM1	CCNT2
RNF7	CUL4A
RNF7	CUL2
RAB27A	SYTL4
BYSL	TROAP
RGS6	DMAP1
ZNF174	ZNF174
EIF3I	EXOSC6
MPP6	EIF3G
TACC3	AKAP9
FNBP1	AKAP9
DIS3	ZBTB17
PLCB2	TRPM7
PKP4	ERBB2IP
ARHGEF11	PLXNB2
RND1	PLXNB2
LSM1	GRHPR
COPG	COPG2
VPS37C	HGS
GNA13	AKAP3
GRAP2	GAB1
GRAP2	CCNDBP1
ANAPC5	PABPC1
ITGAE	EED
TOM1	TOLLIP
TTF2	TNIP1
TTF2	DCP1A
TTF2	PDCD6IP
TTF2	PRDX4
TTF2	CLPB
TTF2	TACC3
STK16	NAGK
NCKAP1	ABI1
GADD45G	GADD45GIP1
PACSIN2	PACSIN3
NUDT21	EXOSC6
UNC13B	SPTBN2
KCNJ1	SLC9A3R1
ARHGEF7	SHANK1
UPF3A	GSK3B
NBL1	UBQLN1
UBQLN1	P4HB
TARBP2	TARBP2
EEA1	RAB22A
GIPC1	ZFPM1
C19orf2	DMAP1
TARDBP	EXOSC10
TARDBP	XRN2
RASSF1	EXOSC8
CNKSR1	RASSF1
PARP4	MVP
PARP4	MVP
FHL5	FHL5
EED	HDAC2
DISC1	FEZ1
MCL1	BOK
SNX9	ADAM15
RNF216	TLR9
RAB11FIP4	RAB11A
UPF3A	IFITM2
TRIM10	TRIM10
RHOQ	GOPC
RHOQ	EXOC7
PBLD	STRAP
XRN2	TOLLIP
ABI3	ABI3BP
PINX1	MCRS1
PRDX4	PRDX4
PACSIN1	PACSIN3
PACSIN1	PACSIN1
TXNIP	ZBTB32
CSPG5	GOPC
ACCN3	GOPC
ZMYND8	FHOD1
FHOD1	EXOSC8
HSH2D	TNK2
MTHFR	NAA38
IPO13	PAX6
PLCB1	TRPM7
DYNLRB1	MPP6
OSTM1	RGS17
OSTM1	RGS20
ORC6L	CDC7
AP4E1	AP4B1
CENPK	SOX6
LSM1	VPS11
LSM1	EXOSC8
LSM1	EXOSC6
TMEM214	LSM1
LSM1	NDUFAF3
LSM1	N4BP1
LSM1	LSM2
LSM1	UPF2
LSM2	NAA38
LSM2	LSM3
LSM2	LSM7
LSM3	LSM7
LSM3	XRN2
LSM3	LSM10
LSM4	XRN1
PLEKHA5	LSM4
LSM5	EXOSC5
LSM6	MCRS1
LSM6	POLD2
LSM7	EXOSC8
LSM7	RAB7L1
LSM7	EXOSC6
NAA38	COL23A1
NAA38	DBF4
NAA38	KCTD3
ITSN2	NAA38
IL28RA	NAA38
NAGK	NAA38
FAM63A	NAA38
NAA38	EXOSC6
NAA38	DCP1A
ISOC2	NAA38
NAA38	THUMPD3
FERMT3	NAA38
AIRE	AIRE
ECT2	PARD6A
LRPPRC	MAP1S
LRPPRC	CECR2
LRPPRC	HEBP2
NUP210	EXOSC5
HSPB8	HSPB1
XRN1	CCT5
THEG	CCT5
PPFIA1	GIT1
SYNCRIP	PTPN11
RARA	NRBF2
RARA	ZBTB16
MECR	RARA
UFD1L	NPLOC4
TRIB3	ATF4
USP16	EXOSC10
NPAS4	ARNT2
SCRIB	EXOSC10
PARN	C21orf56
EXOSC5	SFPQ
PTGES2	EXOSC10
THRB	NCOA2
NRBF2	THRB
GFI1	PIAS3
NEDD9	ITCH
TGS1	EED
DHDDS	ND1
GTF2IRD1	EXOSC4
MYCBP	MYCBPAP
LOXL1	FBLN5
MT2A	PRKD1
PRKG1	NPR1
SRC	ND2
RNF11	EPS15
KCNJ1	SLC9A3R2
KCNG2	KCNB1
DIO2	USP33
UBE2I	CHD3
TOPORS	UBE2I
PER1	CRY1
PER2	CRY1
ARNTL	CRY1
THAP1	PAWR
SERBP1	CHD3
HSF1	SYMPK
DTNB	KIF5A
MCM4	CDC7
GNB2L1	NSMAF
RBBP8	LMO4
CCNE1	CUL3
FKBP2	EPB41L2
GRIA1	EPB41L2
PDZD2	CTNND2
GNG5	GNB5
GNG4	GNB5
GNG3	GNB5
