Official Symbol Interactor A	Official Symbol Interactor B
YWHAG	DHX15
YWHAG	DFFA
YWHAG	DYRK1A
YWHAG	EEF1G
YWHAG	GSK3A
YWHAG	HNRNPH1
YWHAG	HSPA1A
YWHAG	HSPA9
YWHAG	IGF1R
YWHAG	KIF5B
YWHAG	MFAP1
YWHAG	MLLT4
YWHAG	NEFL
YWHAG	CDK17
YWHAG	PIK3C3
YWHAG	PIK3R1
YWHAG	PI4KB
YWHAG	SRSF3
YWHAG	TRA2B
YWHAG	SON
YWHAG	TRIM21
YWHAG	TIAM1
YWHAG	TSC1
YWHAG	UBC
YWHAG	VIM
YWHAG	BAT1
YWHAG	PPFIBP1
YWHAG	IRS2
YWHAG	GBF1
YWHAG	USP8
YWHAG	RABEP1
YWHAG	ARHGEF2
YWHAG	NOLC1
YWHAG	PPIG
YWHAG	TJP2
YWHAG	RASAL2
YWHAG	KIF23
YWHAG	HDAC4
YWHAG	BCLAF1
YWHAG	THRAP3
YWHAG	DCAF7
YWHAG	SRRM1
YWHAG	PAK4
YWHAG	YAP1
YWHAG	MAP3K2
YWHAG	RNPS1
YWHAG	AKAP13
YWHAG	RASSF8
YWHAG	TUBA3C
YWHAG	PUF60
YWHAG	RAB11FIP2
YWHAG	SAMD4A
YWHAG	MYCBP2
YWHAG	ERC1
YWHAG	KIF1B
YWHAG	EPB41L3
YWHAG	MPRIP
YWHAG	ANKS1A
YWHAG	CLASP1
YWHAG	LARP1
YWHAG	SF3B3
YWHAG	SRRM2
YWHAG	SH3BP4
YWHAG	OSBPL3
YWHAG	RAI14
YWHAG	PABPC1
YWHAG	PRPF19
YWHAG	RABGEF1
YWHAG	IGKV1-12
YWHAG	C16orf80
YWHAG	RACGAP1
YWHAG	TRA2A
YWHAG	ZNF295
YWHAG	HDAC7
YWHAG	LSR
YWHAG	LUC7L2
YWHAG	SMCR7L
YWHAG	SAMD4B
YWHAG	RALGPS2
YWHAG	MAGOHB
YWHAG	PRPF38B
YWHAG	FAM82A2
YWHAG	PRPF40A
YWHAG	PARD3
YWHAG	CGN
YWHAG	NADK
YWHAG	SHCBP1
YWHAG	EDC3
YWHAG	SH3BP5L
YWHAG	MICALL1
YWHAG	FRMD6
YWHAG	SNAP23P
YWHAG	CRTC2
YWHAG	EML3
YWHAG	TMEM102
YWHAG	SRGAP2
YWHAG	BAIAP2
YWHAG	LUC7L3
YWHAG	DOCK7
YWHAG	SRSF10
YWHAG	TBC1D1
YWHAZ	ATP5A1
YWHAZ	BRAF
YWHAZ	DFFA
YWHAZ	ENO1
YWHAZ	HSPA1B
YWHAZ	KIF5B
YWHAZ	TRA2B
YWHAZ	TRIM21
YWHAZ	UBC
YWHAZ	USP8
YWHAZ	TJP2
YWHAZ	PAK4
YWHAZ	STK38
YWHAZ	TUBA3C
YWHAZ	EPB41L3
YWHAZ	LARP1
YWHAZ	SAMD4B
YWHAZ	RALGPS2
YWHAZ	ADORA3
YWHAZ	KLC4
YWHAZ	TUBB
YWHAZ	SNRPD2P1
YWHAQ	HSPA8
YWHAQ	KIF5B
YWHAQ	KRT1
YWHAQ	KRT9
YWHAQ	MAGOH
YWHAQ	PI4KB
YWHAQ	SRSF3
YWHAQ	USP8
YWHAQ	EIF4A3
YWHAQ	TUBA3C
YWHAQ	MPRIP
YWHAQ	LARP1
YWHAQ	RAI14
YWHAQ	SAMD4B
YWHAQ	ADORA3
YWHAQ	ADCK2
YWHAZ	PARD3
YWHAH	MARK4
YWHAH	PRKCI
YWHAZ	PRKCI
PRKCI	PARD3
PRKCI	MARK4
PARD6A	MARK2
PARD6A	MARK4
STK11	STRADB
STK11	MARK4
MARK4	ARHGEF2
MARK4	KIAA0802
MARK4	KCTD20
MARK4	PPP2R1A
MARK4	PNMA1
MARK4	USP9X
MARK4	C20orf117
MARK4	RNF41
MARK4	MYO18A
MARK4	YWHAH
MARK4	MYBBP1A
MARK4	PPP2CB
MARK4	SMARCA4
MARK4	TUBG1
MARK4	CDC42
MARK4	PNMA2
MARK4	PRKCI
MARK4	DOCK7
MARK4	USP7
MARK4	CYFIP1
MARK4	CYFIP2
PARD3	PRKCI
PARD3	YWHAH
PARD3	DCAF7
PARD3	PNMA1
PARD3	RASSF8
PARD3	PARD6B
PARD3	CCDC88A
PARD3	PARD6G
PARD3	PNMA2
PARD3	LLGL1
SP1	SMARCA4
CHEK1	MEN1
MEN1	CHEK1
CHCHD4	CIAPIN1
STK11	CAB39
STK11	HSP90AA1
STK11	STRADA
STK11	CDC37
STK11	HSPA1A
STK11	FKBP5
STK11	STRADB
STK11	RPAP3
STK11	USP11
STK11	LIMS1
STK11	KIF23
STK11	SMARCC1
STK11	SMARCA4
YWHAH	DCAF7
YWHAH	MARK2
YWHAH	MARK3
YWHAH	ARHGEF2
YWHAH	RASSF8
YWHAH	DOCK7
YWHAH	KIF23
YWHAH	PARD6B
YWHAH	PARD3
YWHAH	CYFIP1
YWHAH	PARD6G
YWHAH	PARD6A
YWHAH	MARK1
YWHAH	PRKCI
YWHAH	CYFIP2
YWHAH	MARK4
YWHAH	TUBG1
YWHAH	CCDC88A
YWHAZ	PARD3
YWHAZ	PARD6A
YWHAZ	MARK3
YWHAZ	MARK2
YWHAZ	DCAF7
YWHAZ	PNMA2
YWHAZ	KIF23
YWHAZ	MARK1
YWHAZ	CYFIP1
YWHAZ	PNMA1
YWHAZ	DOCK7
YWHAZ	TUBG1
YWHAZ	CYFIP2
PARD6B	PRKCZ
PARD6B	PRKCI
PARD6B	LLGL1
PARD6B	LLGL2
PARD6B	PARD3
PARD6B	PARD6A
PARD6B	CDC42
PARD6B	DMBT1
PARD6G	PRKCI
PARD6G	PARD3
PARD6G	LLGL1
PARD6G	YWHAE
PARD6G	CDC42
PARD6G	PARD6B
PARD6G	MARK2
PARD6G	LLGL2
PARD6G	PRKCZ
PARD6A	PRKCI
PARD6A	CDC42
PARD6A	LLGL1
PARD6A	RPAP3
PARD6A	PARD6B
PARD6A	PDRG1
PARD6A	PRKCZ
PARD6A	LLGL2
PARD6A	PIH1D1
PARD6A	WDR92
PARD6A	SUGT1
PARD6A	PARD3
PRKCI	SQSTM1
PRKCI	PARD6B
PRKCI	GBAS
PRKCI	LLGL1
PRKCI	HSP90AA1
PRKCI	LLGL2
PRKCI	CDC37
PRKCI	NIPSNAP1
PRKCI	PARD6G
PRKCI	RAPGEF2
PRKCI	MYO10
PNMA1	PNMA2
PNMA1	KIAA1967
PNMA1	PNMAL1
PNMA1	PNMA6A
PNMA1	PARD3
PNMA1	PRKCI
PARD6G	DBC1
PARD6G	HSPA4
PARD6G	PNMA3
PARD6G	PNMA2
PARD6G	PNMAL1
MARK2	YWHAH
MARK4	YWHAH
PARD3	YWHAZ
YWHAH	MARK2
RICTOR	PRR5
RICTOR	MAPKAP1
RICTOR	MLST8
RICTOR	MTOR
RICTOR	CPS1
RICTOR	CLTC
RICTOR	HSPA4
RICTOR	TUBA1A
RICTOR	TUBA1B
RICTOR	TIA1
RICTOR	RPS3A
RICTOR	RPL13
RICTOR	RICTOR
RICTOR	BAT5
RICTOR	EHMT2
RICTOR	DHX36
RICTOR	DHRS4
RICTOR	PRR5L
RNF4	SUMO2
RICTOR	PRR5
PRR5	MAPKAP1
PRR5	MTOR
PRR5	RICTOR
PRR5	MLST8
MAPKAP1	PRR5
MTOR	PRR5
MTOR	RPTOR
MAPKAP1	MTOR
MAPKAP1	RICTOR
TAF10	TAF5
TAF10	TAF7
TAF10	TBP
TAL1	KDM1A
TAL1	TCF12
TAL1	TCF3
TAL1	CBFA2T3
TAL1	HDAC1
TAL1	HDAC2
TAL1	RCOR1
TAL1	LDB1
TAL1	SSBP3
TAL1	SSBP2
TAL1	KDM1A
TAL1	HDAC1
TAL1	HDAC2
TAL1	RBBP7
KDM1A	TAL1
MYC	DDB1
MYC	CUL4A
MYC	TRPC4AP
TRPC4AP	DDB1
TRPC4AP	CUL4A
TRPC4AP	DDA1
TRPC4AP	RBX1
MYC	UBC
SETD8	UBC
SETD8	FZR1
FZR1	SETD8
UBE2G1	AMFR
UBE2Z	UBR1
UBR2	UBE2Z
UBE2Z	UBR3
UBE2A	UBR3
UBE2B	UBR3
MYC	UBC
IKBKG	MYC
MYC	FBXW7
BUB1	CASC5
MIS12	FGB
BUB1B	CDC20
ZWINT	NSL1
MIS12	FGA
ZWINT	CNBP
PTTG1	PTTG1
MIS12	SPC24
MIS12	SPC25
MIS12	ZWINT
CHORDC1	CHORDC1
BUB1	UBR5
MIS12	NDC80
BUB1	NDC80
ATM	ATM
BUB1B	CDC27
ZWINT	DDX5
BUB1	MIS12
ZWINT	TRIM28
ZWINT	MIS12
WAPAL	PDS5A
BUB1	DSN1
CKAP5	CKAP5
LLGL2	PARD6A
FGFR1OP	FGFR1OP
ZWINT	TRIM5
ZWINT	CENPC1
TUBA3E	TIMM50
ZWINT	BUB1
ZWINT	NUF2
MIS12	HP
MIS12	NUF2
TUBA3E	PFDN4
MIS12	BUB1
BUB1	SPC25
ZWINT	CYR61
ZWINT	LMNB1
MIS12	CASC5
BUB1B	ANAPC4
ZWINT	RCN1
CKAP5	SLAIN2
MIS12	TF
ZWINT	ZWINT
CDC16	ANAPC1
MIS12	CENPC1
BUB1	BUB1B
WAPAL	RAD21
PTTG1	ESPL1
AURKA	AURKA
ZWINT	SNAP29
BUB1	SPC24
WAPAL	STAG2
MIS12	PIGR
NDC80	NDC80
ZWINT	SPC25
BUB1	ZWINT
FGFR1OP	PACS1
WAPAL	STAG1
FGFR1OP	CEP350
BUB1	NSL1
MIS12	NSL1
MARK2	KIAA0802
NDC80	SPC24
PTTG1	DECR1
CDC16	CDC20
AURKA	CALU
TUBA3E	PFDN2
MIS12	BUB1B
ZWINT	CASC5
ZWINT	BUB1B
MIS12	MIS12
BUB1B	BUB1B
CKAP5	SNW1
ZWINT	NDC80
ZWINT	SPC24
ZWINT	SMTN
TTK	TTK
MIS12	APOA1
MIS12	DSN1
ZWINT	HNRNPF
BUB1B	ANAPC7
ZWINT	HNRNPH1
NDC80	SPC25
AURKA	TPX2
MARK2	MARK2
ZWINT	TTBK2
WAPAL	SMC1A
ZWINT	RRBP1
LLGL2	PRKCI
TUBA3E	PFDN6
TUBA3E	PFDN5
MIS12	SERPINA1
BUB1	NUF2
WAPAL	SMC3
CDCA5	CDCA5
WAPAL	PDS5B
ZWINT	DDX17
BUB1	BUB1
WAPAL	WAPAL
AURKA	Cep192
TUBA3E	VBP1
CKAP5	TACC3
LLGL2	PARD6B
CDC16	ANAPC7
ZWINT	DSN1
NDC80	NUF2
CKAP5	TACC2
LLGL2	LLGL2
TUBA3E	AIFM1
TAL1	KDM1A
TAL1	CHD4
TAL1	CHD3
TAL1	RB1
TAL1	RUNX1
TAL1	LYL1
CTBP1	HIST3H3
CTBP2	HIST3H3
HDAC1	HIST3H3
HDAC2	HIST3H3
RREB1	HIST3H3
ZNF217	HIST3H3
CBX4	HIST3H3
ZNF516	HIST3H3
EHMT2	HIST3H3
RCOR1	HIST3H3
EHMT1	HIST3H3
CTBP1	EHMT1
TBP	TAF1
TBP	TAF4
TBP	TAF5
TBP	TAF6
TBP	TAF7
TBP	TAF10
TBP	TAF11
TBP	TAF12
TBP	TBP
MED10	MED13
MED10	MED12
MED10	MED1
MED10	MED14
MED10	MED24
MED10	MED16
MED10	MED17
MED10	MED7
MED10	MED20
MED10	CCNC
MED10	MED21
CDK8	MED13
CDK8	MED12
CDK8	MED1
CDK8	MED14
CDK8	MED24
CDK8	MED16
CDK8	MED17
CDK8	MED7
CDK8	MED20
CDK8	CCNC
CDK8	MED21
CDK8	MED6
UBR5	GSK3B
GSK3B	UBR5
CTNNB1	UBC
UBC	PPARGC1A
PPARGC1A	RNF34
UBC	VLDLR
TP53	UBC
UBC	TP53
FBXO42	TP53
FBXO42	CUL1
FBXO42	SKP1
FBXO42	RBX1
FBXO42	TP53
TP53	FBXO42
FBXO42	TP53
UBC	LDLR
FANCA	FANCM
FANCA	FANCG
FANCA	FANCL
FANCA	MSH2
ITCH	CYLD
CYLD	ITCH
ITCH	CYLD
MAP3K7	UBC
TBP	GTF2A1
TP73	EP300
EP300	TP73
EP300	TP73
TP73	EP300
EP300	TP73
CREBBP	TP73
PIAS1	DNMT3A
PIAS1	DNMT3B
PIAS1	DNMT3A
PIAS1	DNMT3B
SIRT1	ACACA
SIRT1	HSPA4
SIRT1	WRN
SIRT3	ATP5A1
SIRT3	HSPA4
SIRT1	ACACA
SIRT1	HSPD1
SIRT1	CHCHD2
SIRT1	DIAPH3
SIRT1	YBX1
SIRT1	DYNC1H1
SIRT1	HSPA1L
SIRT1	HSPA5
SIRT1	HIST1H2BC
SIRT1	HIST2H2AB
SIRT1	HSPA9
SIRT1	HDAC2
SIRT1	CMYA5
SIRT1	KPNA2
SIRT1	KPNA3
SIRT1	LAMA3
SIRT1	EEF1G
SIRT1	ARHGAP29
SIRT1	MCF2L2
SIRT1	ELL3
SIRT1	USP9Y
SIRT1	NAT10
SIRT1	UGDH
SIRT1	CACNA1C
SIRT1	WRN
SIRT1	LANCL1
SIRT3	ATP5A1
SIRT3	ATP5B
SIRT3	HSPD1
SIRT3	NCAPD2
SIRT3	GRN
SIRT3	HSPA5
SIRT3	HSPA1L
SIRT3	HSP90B1
SIRT3	CMYA5
SIRT3	PGAP1
SIRT3	RIF1
SIRT3	HSPA9
SIRT3	SBF1
SIRT3	HERC2
SIRT3	TTF2
SIRT3	SNTB1
SIRT3	UQCRH
SIRT3	UGDH
PTEN	PTK2
PTEN	CASP8
PTEN	CCNE2
PTEN	IRS4
PTEN	PPP2R4
PTEN	WNT4
PTEN	QRFPR
PTEN	ARHGAP26
PTEN	G3BP2
PTEN	CASP8
PTEN	CENPC1
PTEN	DBF4B
PTEN	GPR113
PTEN	INHBE
PTEN	GFRA2
PTEN	SMTN
PTEN	KRT14
PTEN	AMHR2
PTEN	IRS4
PTEN	PTK2B
PTEN	CRKL
PTEN	MAP2K6
PTEN	PKN2
PTEN	PDGFRA
PTEN	PINK1
PTEN	CSNK2A1
PTEN	SC65
PTEN	PTPN14
PTEN	TCEB3C
PTEN	BAP1
PTEN	WWP2
PTEN	MED12
PTEN	ZNF787
PTEN	FBN2
PTEN	TTBK2
PTEN	RPL14
PTEN	EEF1A2
PTEN	CCNE2
PRLR	CREBBP
PRLR	CREBBP
PAK1	HIST1H4A
ESR1	MLL2
ESR1	RBBP5
ESR1	ASH2L
ESR1	WDR5
ESR1	MLL2
ESR1	RBBP5
ESR1	ASH2L
ESR1	WDR5
ASH2L	RBBP5
ASH2L	MLL2
ASH2L	WDR5
MLL2	RBBP5
MLL2	ASH2L
MLL2	WDR5
RBBP5	MLL2
RBBP5	ASH2L
RBBP5	WDR5
MLL2	ASH2L
CREBBP	PRLR
PRLR	PRLR
PRLR	PRLR
STAT5B	STAT5B
STAT5B	PRLR
JAK2	PRLR
SKI	TGFBR1
SKIL	TGFBR1
SKI	TGFBR1
SKI	SMAD2
SKI	SMAD4
RGS4	KRIT1
KRIT1	RGS4
KEAP1	NFE2L1
KEAP1	NFE2L2
KEAP1	RELA
KEAP1	RELA
RELA	KEAP1
KEAP1	RELA
NFE2L2	UBC
MDM2	GORAB
GORAB	MDM2
GORAB	MDM2
GORAB	UBC
MDM2	UBC
TP53BP1	HIST1H4A
KDM4A	HIST1H4A
TP53BP1	HIST1H4A
TP53BP1	HIST1H3A
CRB2	HIST1H4A
RB1	TAL1
TAL1	RB1
TCF3	RB1
RB1	TCF3
LMO2	RB1
LDB1	RB1
USP36	SOD2
USP36	SOD2
SOD2	USP36
SOD2	UBC
KIR2DL4	RNF216
KIR2DL4	RNF216
KIR2DL4	UBC
LNX1	RHOC
LNX1	RHOC
RHOC	LNX1
TICAM1	TRAF2
TICAM1	TRAF6
TRAF2	TICAM1
TRAF6	TICAM1
TICAM1	UBC
TRAF2	TICAM1
HSPB2	EIF4E
EIF4E	UBC
UBC	TACC3
CDH1	TACC3
TACC3	CDH1
TACC3	CDH1
TACC3	CDH1
ZFYVE28	UBC
ZFYVE28	UBC
ZFYVE28	EGF
ZFYVE28	RAB5A
ZFYVE28	RAB4A
ZFYVE28	RAB7A
ZFYVE28	EGFR
TGFBR1	TSC22D1
TGFBR1	TSC22D1
TSC22D1	TGFBR1
TGFBR2	TSC22D1
TGFBR1	TGFBR2
SMAD6	TSC22D1
SMAD7	TSC22D1
TSC22D1	SMAD7
ACVRL1	TSC22D1
ACVR1	TSC22D1
BMPR1A	TSC22D1
ACVR1B	TSC22D1
BMPR1B	TSC22D1
UBC	TGFBR1
TGFBR1	SMAD7
TGFBR1	SMURF2
YWHAB	MAP2K1
YWHAB	MAP2K2
MAP2K1	MAP2K2
FOXO1	MDM2
MDM2	FOXO1
MDM2	FOXO3
FOXO3	MDM2
MDM2	FOXO1
FOXO1	UBC
UBC	FOXO3
BTRC	UBE2D1
UBE2D1	UBC
CDC34	UBC
BTRC	CDC34
TP63	RELA
RELA	TP63
UBC	RELA
ATM	TCL1A
TCL1A	ATM
SMURF1	ING2
ING2	UBC
ING2	SMURF1
SMURF1	ING2
ING2	SMURF1
ING1	SMURF1
UBE3A	PML
UBC	PML
PML	UBE3A
CFTR	UBC
CYP3A4	AMFR
CYP3A4	STUB1
ATXN3L	UBC
SH3GLB1	UBC
UBC	SH3GLB1
UBC	CBL
ITCH	UBC
UBC	ITCH
DIXDC1	UBC
ITCH	CBL
SH3GLB1	ITCH
ITCH	USP9X
INSIG1	UBC
INSIG2	UBC
INSIG1	AMFR
INSIG2	AMFR
TP53	UCHL1
TP53	MDM2
TP53	CDKN2A
MDM2	UCHL1
MDM2	CDKN2A
MDM2	TP53
CDKN2A	UCHL1
CDKN2A	TP53
CDKN2A	MDM2
TP53	UBC
MDM2	UBC
CDKN2A	UBC
INSIG2	UBQLN2
INSIG2	UBQLN1
INSIG2	VCP
INSIG2	RPN1
INSIG2	PSMC5
INSIG2	BAT3
INSIG2	ADRM1
INSIG2	PSMD14
INSIG2	PSMD11
INSIG2	HSPA8
INSIG2	HSPA5
INSIG2	PSMD13
INSIG2	DSP
INSIG2	JUP
INSIG2	ENO1
INSIG2	LGALS7
INSIG2	PSMD4
INSIG2	PSMC2
INSIG2	PSMC6
INSIG2	PSMB3
INSIG2	PSMA2
INSIG2	PSMD12
INSIG2	FAF2
INSIG2	HSPA1A
INSIG2	HSPA6
TRAF6	IRAK1
TRAF6	UBC
CRABP2	UBC
MDM2	S100A1
MDM2	S100A2
MDM2	S100A4
MDM2	S100A6
MDM2	S100B
RELA	UBC
RUNX3	UBC
MARCH6	DIO2
GPSM1	USP9X
GPSM1	USP9X
SHC1	UBC
UBC	SHC1
SPG20	UBC
SPG20	ITCH
SPG20	WWP1
TARDBP	UBC
KCNH1	CALM1
ATM	CHEK2
ATR	CHEK2
INSIG2	PSMC3
INSIG2	PSMC5
INSIG2	PSMA7
INSIG2	PSMB1
INSIG1	PSMC3
INSIG1	PSMA7
INSIG1	VCP
INSIG2	VCP
INSIG1	FAF2
WDR48	FANCI
FANCI	WDR48
SPRY2	NEDD4
NEDD4	SPRY2
NEDD4	SPRY2
NEDD4	SPRY1
WDR48	ATAD5
SPRY2	UBC
TERF2	UBC
TERF2	SIAH1
SIAH1	TERF2
IRF3	IRF3
MALT1	COPS5
TRAF3	RNF216
BCL10	MALT1
CARD11	COPS5
BCL10	UBC
RNF216	TRAF3
BTRC	BMI1
BMI1	BTRC
TRAF3	UBC
BMI1	UBC
TRAF3	MAVS
GPS1	MALT1
GPS1	CARD11
BCL10	CARD11
COPS5	CARD11
AKT1	TTC3
AKT2	TTC3
AKT3	TTC3
TTC3	AKT1
TTC3	AKT1
AKT1	UBC
SMAD1	UCHL3
UCHL3	SMAD1
SMAD1	UBC
UBC	SMAD1
CACNA1C	VCP
CACNA1C	DERL1
CACNA1C	UBC
CACNA1A	UBC
KPNA2	CUL4B
KPNA4	CUL4B
KPNA1	CUL4B
KPNB1	CUL4B
CACNA1C	TRIM13
HIF1A	HSPA4
HIF1A	STUB1
HIF1A	VHL
HIF1A	TCEB1
HIF1A	TCEB2
HIF1A	CUL2
HIF1A	HIF1AN
HIF1A	EP300
HIF1A	HSPA4
HIF1A	STUB1
STUB1	HSPA4
STUB1	HIF1A
HIF1A	HSPA4
HIF1A	STUB1
HIF1A	UBC
UBC	HIF1A
EPAS1	STUB1
EPAS1	HSPA4
IRF5	ALPI
IRF5	ALPI
ALPI	IRF5
IRF5	ALPI
CHUK	IRF5
IRF5	IRF5
UBE2I	PPARA
PPARA	UBE2I
PPARA	SUMO1
PPARA	SUMO1
SUMO1	PPARA
PPARA	NCOR1
PPARA	NCOR2
ARRB1	MAP3K5
ARRB2	MAP3K5
MAP3K5	UBC
ARRB1	STUB1
ARRB2	STUB1
PTEN	FRK
PTEN	FRK
FRK	PTEN
PTEN	NEDD4
PTEN	UBC
SOD1	UBC
SOD1	UBC
AMFR	SOD1
AMFR	ATXN3
AMFR	SOD1
AMFR	UBC
ATXN3	UBC
AMFR	UBC
AMFR	ATXN3
AMFR	SOD1
STUB1	LRRK2
LRRK2	STUB1
HSP90AA1	LRRK2
LRRK2	HSP90AA1
LRRK2	UBC
TP53	UBC
MDM2	TP53
UBC	JUN
UBC	SH3GL2
UBC	ITCH
UBC	NEDD4
UBC	NEDD4L
UBC	SMURF2
UBC	WWP1
UBC	WWP2
TP53	USP7
MDM2	USP7
DDX58	TRIM25
TRIM25	DDX58
DDX58	MAVS
NEDD4	UBC
NEDD4	UBC
NEDD4	UBE2D3
UBC	KAT2A
KAT2A	DTL
KAT2A	CUL4A
KAT2A	DDB1
KAT2A	WDHD1
WDHD1	KAT2A
CUL4A	KAT2A
PCNA	UBC
USP42	TP53
USP42	TP53
USP42	MDM2
USP42	TP53
AKT1	ESR1
USP19	BIRC2
USP19	BIRC3
USP19	XIAP
BIRC3	USP19
XIAP	USP19
EGFR	CBL
EGFR	GRB2
EGFR	SOS1
EGFR	SHC1
EGFR	VAV2
EGFR	CBLB
EGFR	UBC
EGFR	PIK3R2
EGFR	SNRPD2
EGFR	ACTA2
EGFR	EGF
EGFR	PIK3R1
EGFR	ERRFI1
EGFR	ATP5C1
EGFR	MTCO2L
EGFR	YWHAZ
EGFR	SOS2
EGFR	CBL
EGFR	GRB2
EGFR	SOS1
EGFR	SHC1
EGFR	VAV2
EGFR	UBC
EGFR	CBL
EGFR	UBC
USP19	BIRC3
USP19	UBC
SP1	RNF4
SP1	RNF4
UBC	SP1
RNF4	SP1
ITCH	NUMB
ITCH	UBC
GLI1	ITCH
GLI1	ITCH
ITCH	GLI1
ITCH	GLI1
ITCH	GLI1
GLI1	UBC
NUMB	GLI1
NUMB	GLI1
NUMB	ITCH
SKP2	SKP1
TEK	UBC
CBL	TEK
PIN1	CDKN1B
CDKN1B	PIN1
CDKN1B	PIN1
CDKN1B	CKS1B
UBC	SNAI1
SNAI1	FBXL14
SNAI1	FBXL14
FBXL14	SNAI1
SNAI1	BTRC
SNAI1	UBC
ARRB2	TRAF3
ARRB2	MAP2K1
ARRB2	MAPK1
AGTR1	TRAF3
AGTR1	MAPK1
AGTR1	ARRB2
PCNA	POLD3
PCNA	POLD1
PCNA	POLD2
POLD3	POLD1
POLD3	POLD2
PCNA	POLD3
PCNA	POLD1
CALM1	RALA
CALM1	RALB
CALM1	RALB
RALB	CALM1
CALM1	RALA
CALM1	RALB
RAD18	NBN
RAD18	NBN
DAXX	MAP3K5
HMGB1	HMGB2
HMGB1	PDIA3
HMGB1	HSPA8
PIM1	ABCB1
PIM1	ABCB1
PIM1	ABCB1
NFKBIA	IKBKB
IKBKB	NFKBIA
IKBKB	BTRC
IKBKB	HNRNPU
CSNK2B	NFKBIA
NFKBIA	RELA
HNRNPU	NFKBIA
HNRNPU	IKBKB
MAVS	DDX58
MAVS	IFIH1
MAVS	FADD
MAVS	KRR1
HTT	TRAF6
TRAF6	HTT
ROBO1	USP33
WWC1	LATS1
WWC1	LATS2
LATS2	WWC1
KEAP1	HSP90AA1
HSP90AA1	KEAP1
KEAP1	CUL3
KEAP1	RBX1
KEAP1	NFE2L2
EDC4	DCP2
EDC4	DCP1B
EDC4	DCP2
EDC4	DCP1B
HSP90AA1	HIF1A
HIF1A	FBXW7
NCOR2	PPARG
NDRG2	ATP1B1
BARD1	BRCA2
BARD1	BRCA1
BARD1	RAD50
BARD1	MSH6
BARD1	SMC1A
BARD1	BACH1
BARD1	RBBP8
BARD1	BARD1
BARD1	MLH1
BARD1	TOPBP1
BARD1	NBN
BARD1	TOPBP1
BARD1	NBN
BARD1	BRCA1
EIF3E	PSMD12
BARD1	RAD50
BARD1	BACH1
BARD1	RBBP8
BARD1	MRE11A
EIF3E	EIF3D
EIF3E	PSMC6
PSMD12	PSMD12
PSMD12	EIF3D
PSMD12	PSMC6
PSMD12	EIF3E
EIF3E	FBXW7
EIF3E	NCOA3
BRCA1	TOPBP1
BRCA1	MRE11A
BRCA1	BACH1
RAD50	BRCA1
RAD50	NBN
RAD50	MRE11A
RAD50	RBBP8
RAD50	TOPBP1
BACH1	BRCA1
BACH1	NBN
BACH1	MRE11A
BACH1	MLH1
BACH1	TOPBP1
MDM2	TP53
BARD1	BACH1
BARD1	BRCA1
RBBP8	BARD1
BACH1	BARD1
MAPK1	PPP1CC
MAPK3	PPP2CA
SRC	VDR
MED1	VDR
VDR	SRC
VDR	MED1
SMAD1	SMAD4
SMAD1	SMURF1
SMAD1	SMURF2
SMAD1	STUB1
SMAD1	STUB1
SMAD4	STUB1
SMAD2	STUB1
SMAD3	STUB1
SMAD1	STUB1
SMAD4	STUB1
STUB1	SMAD1
FLT1	UBC
KDR	UBC
RANGAP1	SUMO1
TP53	SUMO1
SAE1	SUMO1
UBA2	SUMO1
NET1	DLG1
NET1	DLG1
NET1	MAGI1
DLG1	NET1
NET1	UBC
ITPR1	ERLIN1
ITPR1	ERLIN2
ITPR1	VCP
ITPR1	UBC
ERLIN1	ERLIN2
ERLIN2	ERLIN1
ERLIN1	ERLIN2
UBC	TTK
CDC27	TTK
TTK	CDC27
CDC20	TTK
CDH1	TTK
UBQLN4	GJA1
GJA1	UBQLN4
UBQLN4	UBC
CDKN1B	UBC
NEDD4	ERBB4
ERBB4	NEDD4
ERBB4	UBC
ERBB4	UBC
NEDD4	ERBB4
ITCH	UBC
ITCH	CFLAR
CFLAR	ITCH
TNFRSF10B	ITCH
CFLAR	UBC
BIRC2	BIRC2
XIAP	CASP9
BIRC2	UBC
MAP3K14	BIRC2
MAP3K14	UBC
PCNA	GAPDH
PCNA	ALDOA
PCNA	ENO1
SMURF2	SMAD7
SMURF2	SMAD7
SMURF2	SMAD7
SMURF2	SMAD1
SMURF2	SMAD2
PCNA	SPAG1
PCNA	PGK1
PCNA	PGAM1
PCNA	RPSA
PCNA	CA2
PCNA	PRDX6
PCNA	MDH2
PCNA	KRT7
PCNA	ANXA2
PCNA	PPIA
PCNA	EEF1A1
ABL1	UBC
PCNA	ALDOA
PCNA	GAPDH
ABL1	STUB1
ABL1	CBL
BAG1	ABL1
BAG1	ABL1
PCNA	GCK
PCNA	GPI
PCNA	PFKM
PCNA	TPI1
PCNA	PGK1
PCNA	PGAM1
PCNA	ENO1
PCNA	PKLR
PCNA	LDHA
VDR	CDK11B
CDK11B	VDR
VDR	UBC
UBE2D2	UBC
RNF5	UBC
RNF5	RNF5
ERBB2	UBC
CPSF3	RRAGA
CPSF3	RRAGA
RRAGA	CPSF1
RRAGA	CPSF2
RRAGA	CPSF3
CPSF4	RRAGA
CPSF2	RRAGA
CPSF4	CSTF2T
CPSF2	CSTF2T
RRAGA	CSTF2T
MSR1	TRAF6
RRAGA	PAPOLA
RRAGA	CPSF4
RRAGA	CPSF1
RRAGA	CSTF3
