From	To
LAMA5	ITGA3
LAMA5	ITGA7
LAMA5	ITGA9
LAMA5	ITGAV
LAMA5	ITGB1
LAMA5	ITGB4
LAMA5	ITGB8
LAMA5	CD44
LAMA5	SV2B
LAMA5	SV2A
LAMB1	DAG1
LAMB1	SV2C
LAMB1	ITGA6
LAMB1	ITGA1
LAMB1	ITGA2
LAMB1	ITGA3
LAMB1	ITGA7
LAMB1	ITGA9
LAMB1	ITGAV
LAMB1	ITGB1
LAMB1	ITGB4
LAMB1	ITGB8
LAMB1	CD44
LAMB1	SV2B
LAMB1	SV2A
LAMB2	DAG1
LAMB2	SV2C
LAMB2	ITGA6
LAMB2	ITGA1
LAMB2	ITGA2
LAMB2	ITGA3
LAMB2	ITGA7
LAMB2	ITGA9
LAMB2	ITGAV
LAMB2	ITGB1
LAMB2	ITGB4
LAMB2	ITGB8
LAMB2	CD44
LAMB2	SV2B
LAMB2	SV2A
LAMB3	DAG1
LAMB3	SV2C
LAMB3	ITGA6
LAMB3	ITGA1
LAMB3	ITGA2
LAMB3	ITGA3
LAMB3	ITGA7
LAMB3	ITGA9
LAMB3	ITGAV
LAMB3	ITGB1
LAMB3	ITGB4
LAMB3	ITGB8
LAMB3	CD44
LAMB3	SV2B
LAMB3	SV2A
LAMC1	DAG1
LAMC1	SV2C
LAMC1	ITGA6
LAMC1	ITGA1
LAMC1	ITGA2
LAMC1	ITGA3
LAMC1	ITGA7
LAMC1	ITGA9
LAMC1	ITGAV
LAMC1	ITGB1
LAMC1	ITGB4
LAMC1	ITGB8
LAMC1	CD44
LAMC1	SV2B
LAMC1	SV2A
LAMC2	DAG1
LAMC2	SV2C
LAMC2	ITGA6
LAMC2	ITGA1
LAMC2	ITGA2
LAMC2	ITGA3
LAMC2	ITGA7
LAMC2	ITGA9
LAMC2	ITGAV
LAMC2	ITGB1
LAMC2	ITGB4
LAMC2	ITGB8
LAMC2	CD44
LAMC2	SV2B
LAMC2	SV2A
COL5A3	ITGA11
COL5A3	ITGA1
COL5A3	ITGA2
COL5A3	ITGA3
COL5A3	ITGA9
COL5A3	ITGAV
COL5A3	ITGB1
COL5A3	ITGB8
COL5A3	GP6
COL5A3	SDC1
COL5A3	SDC4
COL5A3	ITGA10
COL5A3	CD44
RELN	ITGA3
RELN	ITGB1
TNN	ITGA9
TNN	ITGAV
TNN	ITGB1
TNN	ITGB3
TNN	ITGB6
TNN	SDC1
TNN	SDC4
TNN	ITGA8
SPP1	ITGA4
SPP1	ITGA9
SPP1	ITGAV
SPP1	ITGB1
SPP1	ITGB3
SPP1	ITGB5
THBS1	ITGA2B
THBS1	ITGA3
THBS1	ITGAV
THBS1	ITGB1
THBS1	ITGB3
THBS1	SDC1
THBS1	SDC4
THBS1	CD36
THBS1	CD47
THBS2	ITGA2B
THBS2	ITGA3
THBS2	ITGAV
THBS2	ITGB1
THBS2	ITGB3
THBS2	SDC1
THBS2	SDC4
THBS2	CD36
THBS2	CD47
THBS3	ITGA2B
THBS3	ITGA3
THBS3	ITGAV
THBS3	ITGB1
THBS3	ITGB3
THBS3	SDC1
THBS3	SDC4
THBS3	CD36
THBS3	CD47
THBS4	ITGA2B
THBS4	ITGA3
THBS4	ITGAV
THBS4	ITGB1
THBS4	ITGB3
THBS4	SDC1
THBS4	SDC4
THBS4	CD36
THBS4	CD47
TNR	ITGA9
TNR	ITGAV
TNR	ITGB1
TNR	ITGB3
TNR	ITGB6
TNR	SDC1
TNR	SDC4
TNR	ITGA8
TNXB	ITGA9
TNXB	ITGAV
TNXB	ITGB1
TNXB	ITGB3
TNXB	ITGB6
TNXB	SDC1
TNXB	SDC4
TNXB	ITGA8
VTN	ITGA2B
VTN	ITGAV
VTN	ITGB1
VTN	ITGB3
VTN	ITGB5
VTN	ITGB8
VTN	ITGA8
VWF	GP1BA
VWF	GP1BB
VWF	GP5
VWF	GP9
VWF	ITGA2B
VWF	ITGAV
VWF	ITGB3
CGA	FSHR
CGA	LHCGR
CGA	TSHR
CSH1	GHR
CSH2	GHR
CTSG	F2R
CTSG	F2RL1
CTSG	F2RL2
CTSG	F2RL3
F2	F2R
F2	F2RL1
F2	F2RL2
F2	F2RL3
FSHB	FSHR
GZMA	F2R
GZMA	F2RL1
GZMA	F2RL2
GZMA	F2RL3
LHB	LHCGR
PLG	F2R
PLG	F2RL1
PLG	F2RL2
PLG	F2RL3
PRSS1	F2R
PRSS1	F2RL1
PRSS1	F2RL2
PRSS1	F2RL3
PRSS2	F2R
PRSS2	F2RL1
PRSS2	F2RL2
PRSS2	F2RL3
PRSS3	F2R
PRSS3	F2RL1
PRSS3	F2RL2
PRSS3	F2RL3
TSHB	TSHR
DLK1	NOTCH1
DLK1	NOTCH2
DLK1	NOTCH3
DLK1	NOTCH4
JAG1	NOTCH1
JAG1	NOTCH2
JAG1	NOTCH3
JAG1	NOTCH4
JAG2	NOTCH1
JAG2	NOTCH2
JAG2	NOTCH3
JAG2	NOTCH4
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	NOTCH4
DLL3	NOTCH1
DLL3	NOTCH2
DLL3	NOTCH3
DLL3	NOTCH4
DLL4	NOTCH1
DLL4	NOTCH3
DLL4	NOTCH4
EFNA1	EPHA1
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA4
