p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
1.9413118144035e-06	4.59104176788647	0.563	0.454	0.0266231502227295	SRSF3	control	4.59104176788647
1.96811804104994e-06	0.911625815864586	0.263	0.174	0.0269907708149588	MATR3	control	0.911625815864586
2.01331582975771e-06	1.00467723224537	0.089	0.038	0.0276106132892972	LPIN2	control	1.00467723224537
2.10658763718086e-06	1.15775371162011	0.495	0.382	0.0288897428562983	ST13	control	1.15775371162011
2.22388544192773e-06	4.17858030481514	0.251	0.158	0.0304983649505969	N4BP2L2	control	4.17858030481514
2.28197271864994e-06	1.05972178943373	0.13	0.067	0.0312949738635652	MICU2	control	1.05972178943373
2.43363744037833e-06	2.75407757839867	0.114	0.055	0.0333749038573484	LGALS8	control	2.75407757839867
2.4377134648167e-06	0.791700297081384	0.242	0.155	0.0334308024564962	RNF167	control	0.791700297081384
2.4484375225061e-06	1.50511406447188	0.079	0.032	0.0335778721836486	RP11-83A24.2	control	1.50511406447188
2.45446370103086e-06	0.909040422111203	0.178	0.102	0.0336605151959372	SS18L2	control	0.909040422111203
2.62025334018391e-06	0.881905489733439	0.77	0.667	0.0359341543072821	NBEAL1	control	0.881905489733439
2.68852263056207e-06	1.41668969859893	0.112	0.054	0.0368703993555283	UBQLN2	control	1.41668969859893
2.85240754990571e-06	15.1418479210253	0.528	0.415	0.039117917139407	CUTA	control	15.1418479210253
2.93134165829836e-06	0.885743041321248	0.269	0.178	0.0402004195019038	CHURC1	control	0.885743041321248
2.93479924472512e-06	3.41814680478592	0.017	0.001	0.0402478368421603	CTLA4	control	3.41814680478592
3.080363967448e-06	13.0247681466522	0.161	0.092	0.0422441114495818	RGS1	control	13.0247681466522
3.11786391576086e-06	0.644860849562062	0.143	0.076	0.0427583857407445	RASA3	control	0.644860849562062
3.16036120276043e-06	22.3553499493317	0.737	0.638	0.0433411935346565	EIF3F	control	22.3553499493317
3.25947097883056e-06	0.400495584517518	0.364	0.262	0.0447003850036823	C19ORF60	control	0.400495584517518
3.616821997983e-06	43.5487767061617	0.195	0.118	0.0496010968803389	NAP1L4	control	43.5487767061617
3.69772334756317e-06	1.15519961365727	0.203	0.124	0.0507105779884813	PTGER2	control	1.15519961365727
3.81279865391425e-06	0.68391795903251	0.091	0.04	0.05228872073978	ERN1	control	0.68391795903251
3.93785003025882e-06	1.38808887587893	0.056	0.019	0.0540036753149694	PYROXD1	control	1.38808887587893
4.26336602548089e-06	0.822374956146178	0.147	0.08	0.058467801673445	U2AF1L4	control	0.822374956146178
4.5561371150623e-06	1.65062695690135	0.124	0.064	0.0624828643959643	ANP32E	control	1.65062695690135
4.6881790584311e-06	5.04298285691851	0.327	0.23	0.0642936876073241	CD47	control	5.04298285691851
4.7780464270175e-06	1.48737468541207	0.054	0.018	0.065526128700118	INTS4	control	1.48737468541207
4.80770669513486e-06	41.1098738938411	0.151	0.084	0.0659328896170795	CYB5B	control	41.1098738938411
4.82868288858686e-06	1.8771235052124	0.041	0.012	0.0662205571340803	AGFG2	control	1.8771235052124
