p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	condition	Vertex_weight
0.165720278494095	-0.766608539194656	0.04	0.055	1	ETF1	control	-0.766608539194656
0.165891009190543	0.56214995569904	0.038	0.026	1	TBL3	control	0.56214995569904
0.165891009190543	0.56214995569904	0.038	0.026	1	ENTPD6	control	0.56214995569904
0.166093735657891	-0.641193690242623	0.044	0.06	1	CNTRL	control	-0.641193690242623
0.166300402844351	-61.6355164844704	0.358	0.392	1	SMDT1	control	-61.6355164844704
0.166888758593843	-33.883340736654	0.527	0.57	1	UCP2	control	-33.883340736654
0.167093041346298	0.545413441812358	0.048	0.035	1	CCDC88B	control	0.545413441812358
0.167294358801999	0.37369966612798	0.102	0.082	1	SSSCA1	control	0.37369966612798
0.167820226823537	-37.5801989053361	0.031	0.045	1	RCHY1	control	-37.5801989053361
0.167825426121059	1.88966394501758	0.013	0.006	1	EFNB1	control	1.88966394501758
0.167987178595446	-0.880077970910538	0.015	0.025	1	PCGF6	control	-0.880077970910538
0.168231819440401	-38.9741388268764	0.083	0.104	1	STX4	control	-38.9741388268764
0.168260357447503	-3.09125383771126	0.015	0.025	1	KIAA1715	control	-3.09125383771126
0.168298749952393	0.457445192935089	0.031	0.021	1	GNGT2	control	0.457445192935089
0.168445377905689	-22.2241800159856	0.135	0.114	1	UBE2E1	control	-22.2241800159856
0.16853381132788	-0.749307165049016	0.015	0.025	1	ACAP3	control	-0.749307165049016
0.168846388751434	-0.6791901600018	0.015	0.025	1	MCPH1	control	-0.6791901600018
0.16894779154363	-0.511868648592249	0.033	0.048	1	PSD4	control	-0.511868648592249
0.168985131302967	0.275301970522288	0.16	0.137	1	MLF2	control	0.275301970522288
0.16920642263591	-1.58508645142684	0.035	0.05	1	EGLN1	control	-1.58508645142684
0.169415326995322	-20.4644710861329	0.062	0.081	1	DHX36	control	-20.4644710861329
0.16973951724625	1.02099507777245	0.013	0.006	1	ROCK2	control	1.02099507777245
0.16973951724625	1.02099507777245	0.013	0.006	1	FKBPL	control	1.02099507777245
0.16973951724625	1.02099507777245	0.013	0.006	1	FAM21C	control	1.02099507777245
0.16973951724625	1.02099507777245	0.013	0.006	1	CNNM2	control	1.02099507777245
0.16973951724625	1.02099507777245	0.013	0.006	1	ZSCAN29	control	1.02099507777245
0.16973951724625	1.02099507777245	0.013	0.006	1	RANBP10	control	1.02099507777245
0.16973951724625	1.02099507777245	0.013	0.006	1	TAF4	control	1.02099507777245
0.169822800917822	0.364731827158208	0.029	0.043	1	CDKN1C	control	0.364731827158208
0.169865092178687	-16.9741793116794	0.125	0.147	1	SNAP23	control	-16.9741793116794
0.169867697753227	-33.9335420545897	0.052	0.038	1	HCCS	control	-33.9335420545897
0.170115113860799	15.540590209864	0.04	0.028	1	PCYT1A	control	15.540590209864
0.170147629373419	0.774387782192095	0.013	0.006	1	TAGLN	control	0.774387782192095
0.170147629373419	0.774387782192095	0.013	0.006	1	CSNK1G1	control	0.774387782192095
0.170374696347376	-11.1293752734419	0.052	0.069	1	BPTF	control	-11.1293752734419
0.170520665916321	-0.661966153203735	0.027	0.04	1	LINC00847	control	-0.661966153203735
0.170657048483594	-1.5998144704085	0.217	0.191	1	SDHD	control	-1.5998144704085
0.170887028554893	0.294322069695837	0.048	0.035	1	NCOA1	control	0.294322069695837
0.171166697322727	-32.654845045781	0.419	0.38	1	LCP1	control	-32.654845045781
0.171193968658141	12.4630333190538	0.065	0.083	1	CHCHD3	control	12.4630333190538
0.171452507915081	-0.329292877323281	0.033	0.048	1	DDX23	control	-0.329292877323281
0.171538787335837	-0.775401477118908	0.019	0.03	1	SESN3	control	-0.775401477118908
0.171541453701828	0.425292522789553	0.05	0.037	1	VPS16	control	0.425292522789553
0.171698148366152	-73.0557131041299	0.056	0.074	1	HSPB11	control	-73.0557131041299
0.171734621834663	0.752081437158698	0.117	0.097	1	HNRNPH2	control	0.752081437158698
0.171798459272334	-0.732046803063448	0.029	0.043	1	PMM1	control	-0.732046803063448
0.171804321146208	-3.19776773851714	0.038	0.052	1	DYRK4	control	-3.19776773851714
0.171863467808367	-0.721211943738203	0.019	0.03	1	ACOT2	control	-0.721211943738203
0.172289465403612	0.415243717672209	0.04	0.028	1	GGCX	control	0.415243717672209
0.172311110040431	-2.87441416032693	0.006	0.014	1	CLSTN3	control	-2.87441416032693
0.172311110040431	-1.16132330313101	0.006	0.014	1	MYO1C	control	-1.16132330313101
0.172472529981653	-1.04811696339549	0.006	0.014	1	VSIG1	control	-1.04811696339549
0.172472529981653	-1.04811696339549	0.006	0.014	1	NCALD	control	-1.04811696339549
0.172472529981653	-1.04811696339549	0.006	0.014	1	AGAP2	control	-1.04811696339549
0.172472529981653	-1.04811696339549	0.006	0.014	1	CAPN15	control	-1.04811696339549
0.172472529981653	-38.4905400338408	0.006	0.014	1	ZNF747	control	-38.4905400338408
0.172472529981653	-1.04811696339549	0.006	0.014	1	ACBD4	control	-1.04811696339549
0.17256086683566	1.93522612582355	0.008	0.004	1	MPZ	control	1.93522612582355
0.17256086683566	1.93522612582355	0.008	0.004	1	ZBTB47	control	1.93522612582355
0.172625010568552	-0.793784716656198	0.013	0.022	1	TMCO6	control	-0.793784716656198
0.172625010568552	-4.53330335227272	0.013	0.022	1	ANKRD49	control	-4.53330335227272
0.172628466086093	-58.6426108980185	0.358	0.392	1	NHP2L1	control	-58.6426108980185
